统计场景顶点数:  yewai_jianshi_01 (6)  数量:1  顶点：36   总顶点数：36

统计场景顶点数:  yewai_shitou_03  数量:1  顶点：30   总顶点数：30

统计场景顶点数:  yewai_shitou_03 (1)  数量:1  顶点：30   总顶点数：30

统计场景顶点数:  Cube (17)  数量:1  顶点：24   总顶点数：24

统计场景顶点数:  Cube (9)  数量:1  顶点：24   总顶点数：24

统计场景顶点数:  Cube (6)  数量:1  顶点：24   总顶点数：24

统计场景顶点数:  Cube (2)  数量:1  顶点：24   总顶点数：24

统计场景顶点数:  Cube (1)  数量:1  顶点：24   总顶点数：24

统计场景顶点数:  Cube (10)  数量:1  顶点：24   总顶点数：24

统计场景顶点数:  Cube  数量:1  顶点：24   总顶点数：24

统计场景顶点数:  Cube (8)  数量:1  顶点：24   总顶点数：24

统计场景顶点数:  Cube (12)  数量:1  顶点：24   总顶点数：24

统计场景顶点数:  Cube (7)  数量:1  顶点：24   总顶点数：24

统计场景顶点数:  Cube (16)  数量:1  顶点：24   总顶点数：24

统计场景顶点数:  Cube (18)  数量:1  顶点：24   总顶点数：24

统计场景顶点数:  Cube (3)  数量:1  顶点：24   总顶点数：24

统计场景顶点数:  Cube (4)  数量:1  顶点：24   总顶点数：24

统计场景顶点数:  Cube (14)  数量:1  顶点：24   总顶点数：24

统计场景顶点数:  Cube (13)  数量:1  顶点：24   总顶点数：24

统计场景顶点数:  Cube (15)  数量:1  顶点：24   总顶点数：24

统计场景顶点数:  Cube (11)  数量:1  顶点：24   总顶点数：24

统计场景顶点数:  Cube (5)  数量:1  顶点：24   总顶点数：24

统计场景顶点数:  yewai_xiaoshitou_03  数量:1  顶点：13   总顶点数：13

统计场景顶点数:  yewai_xiaoshitou_01 (2)  数量:1  顶点：12   总顶点数：12

统计场景顶点数:  yewai_xiaoshitou_01  数量:1  顶点：12   总顶点数：12

统计场景顶点数:  yewai_xiaoshitou_01 (1)  数量:1  顶点：12   总顶点数：12

统计场景顶点数:  yewai_xiaoshitou_02 (1)  数量:1  顶点：9   总顶点数：9

统计场景顶点数:  yewai_xiaoshitou_02  数量:1  顶点：9   总顶点数：9

